Country|Visa|Vaccinations|Temperatures|City 
Bulgaria|90,963|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|31.1,34.0,41.7,51.1,59.7,66.0,70.2,69.8,61.7,52.3,41.2,33.3,51.1|Sofia 
Burkina Faso|5,611|Measles, Routine vaccines, Yellow Fever, Hepatitis A, Malaria, Typhoid, Hepatitis B, Meningitis (Meningococcal disease), Rabies|76.6,81.9,87.6,90.7,88.9,84.6,81.1,79.5,80.6,84.0,81.9,77.2,82.9|Ouagadougou 
Burundi|Visa required|Measles, Routine vaccines, Yellow Fever, Hepatitis A, Malaria, Typhoid, Cholera, Hepatitis B, Rabies|74.8,74.8,74.7,75.0,75.0,73.9,73.2,75.2,76.5,76.3,74.1,74.5,74.8|Bujumbura 
Cambodia|238,658|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Japanese Encephalitis, Malaria, Rabies, Yellow Fever|79.9,82.4,84.9,86.4,86.0,84.6,83.7,83.3,82.8,81.0,80.8,79.3,82.9|Phnom Penh 
Cameroon|13,280|Measles, Routine vaccines, Yellow Fever, Polio, Hepatitis A, Malaria, Typhoid, Cholera, Hepatitis B, Meningitis (Meningococcal disease), Rabies|81.5,82.6,82.0,81.7,81.0,79.2,77.2,76.8,78.1,79.0,80.4,81.0,80.1|Douala 
Canada|24,335,415|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|25.3,27.3,34.5,46.2,57.4,66.9,72.1,70.7,63.0,51.3,40.8,31.1,48.9|Toronto 
Cape Verde|4,282|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Malaria, Rabies, Yellow Fever|72.3,72.0,73.2,74.1,75.2,76.8,77.7,79.2,80.2,79.5,77.7,74.1,75.9|Praia 
Central African Republic|Visa not required|Measles, Routine vaccines, Yellow Fever, Polio, Hepatitis A, Malaria, Typhoid, Cholera, Hepatitis B, Meningitis (Meningococcal disease), Rabies|78.8,80.8,81.3,80.8,79.7,77.5,77.2,77.2,77.7,77.9,78.3,78.3,78.8|Bangui 
Chad|Visa required|Measles, Routine vaccines, Polio, Hepatitis A, Malaria, Typhoid, Cholera, Hepatitis B, Meningitis (Meningococcal disease), Rabies, Yellow Fever|73.9,80.4,86.7,92.8,92.3,87.8,82.8,79.7,82.0,84.6,81.1,75.2,82.9|N'Djamena 
Chile|211,718|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies|73.9,74.7,73.6,71.4,68.2,66.0,64.4,64.2,64.9,66.2,68.7,71.2,68.9|Hanga Roa 
China|2,312,900|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Japanese Encephalitis, Polio, Rabies, Yellow Fever, Malaria|26.4,32.5,44.1,58.6,69.4,76.8,80.1,77.9,69.4,56.7,41.0,30.4,55.2|Beijing 
Colombia|529,013|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Malaria, Rabies, Yellow Fever|57.7,58.1,58.8,58.8,59.0,58.1,58.3,57.4,57.7,57.7,57.9,58.3,57.9|Bogotá 
Comoros|Visa on arrival|Measles, Routine vaccines, Hepatitis A, Malaria, Typhoid, Hepatitis B, Rabies|UNDEFINED|UNDEFINED 
Democratic Republic of the Congo|Visa required|N/A|78.8,79.2,80.1,80.2,78.8,74.7,72.0,74.3,77.5,78.8,78.6,78.1,77.5|Kinshasa 
Republic of the Congo|Visa required|N/A|79,79,81,79,79,73,72,73,77,79,79,79,77|Brazzaville 
Costa Rica|1,199,241|Measles, Routine vaccines, Hepatitis A, Typhoid, Malaria, Hepatitis B, Rabies, Yellow Fever|72.7,73.4,74.3,74.7,73.2,72.5,72.7,72.3,71.6,71.2,71.4,72.1,72.7|San José 
Côte d'Ivoire|eVisa|N/A|UNDEFINED|UNDEFINED 
Croatia|451,947|Measles, Routine vaccines, Hepatitis A, Rabies, Hepatitis B|32.5,36.1,43.5,51.3,60.4,65.8,69.1,68.2,60.6,50.9,41.0,34.5,51.3|Zagreb 
Cuba|91,254|Measles, Routine vaccines, Typhoid, Hepatitis A, Rabies, Hepatitis B|72.0,72.3,74.7,76.6,79.0,80.6,81.7,82.2,81.3,79.0,76.1,73.4,77.4|Havana 
Cyprus|25,388|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|51.1,51.1,55.6,62.8,72.1,80.4,85.5,84.9,79.2,72.1,61.3,53.6,67.5|Nicosia 
Czech Republic|539,023|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|29.5,31.3,38.5,47.1,56.1,61.0,64.8,64.0,56.3,47.3,37.6,31.5,47.1|Prague 
Denmark|Visa not required|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|34.5,34.5,38.3,45.9,54.5,60.1,64.6,63.9,57.0,49.6,41.9,36.5,48.4|Copenhagen 
Djibouti|eVisa|Measles, Routine vaccines, Hepatitis A, Malaria, Typhoid, Hepatitis B, Rabies|77.2,78.3,80.6,83.7,87.8,93.6,97.5,96.8,91.6,84.7,80.4,77.7,85.8|Djibouti 
Dominica|17,773|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies, Yellow Fever|76.8,76.6,77.2,78.4,79.9,81.1,81.3,81.3,80.8,79.0,79.2,77.7,79.2|Roseau 
Dominican Republic|2,073,963|Measles, Routine vaccines, Hepatitis A, Typhoid, Cholera, Hepatitis B, Malaria, Rabies, Yellow Fever|75.9,75.9,76.8,78.1,79.3,80.4,80.6,80.8,80.6,80.1,78.8,76.8,78.6|Santo Domingo 
Ecuador|259,406|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Malaria, Rabies, Yellow Fever|57.6,57.2,57.7,57.7,58.1,58.1,58.3,59.0,58.6,57.7,57.7,57.9,57.9|Quito 
Egypt|eVisa / Visa on arrival|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies, Yellow Fever|56.5,58.8,62.4,70.2,76.1,81.1,81.7,81.3,79,73.9,66.0,59,70.5|Cairo 
El Salvador|447,628|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Malaria, Rabies, Yellow Fever|72.0,73.0,74.8,76.1,75.6,73.9,73.9,73.8,73.0,73.0,72.3,71.6,73.6|San Salvador 
Equatorial Guinea|Visa not required|Measles, Routine vaccines, Hepatitis A, Malaria, Typhoid, Yellow Fever, Hepatitis B, Rabies|78.1,78.4,78.3,78.1,78.1,77.0,75.4,75.6,76.3,76.6,77.4,77.0,77.2|Bata 
Eritrea|Visa required|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Malaria, Meningitis (Meningococcal disease), Rabies, Yellow Fever|56.8,58.8,61.3,62.6,63.7,63.7,61.3,61.0,60.3,58.8,57.2,55.8,60.1|Asmara 
Estonia|38,381|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|26.1,24.3,30.2,40.1,50.2,57.4,63.0,60.8,52.3,43.7,34.3,28.6,42.6|Tallinn 
Eswatini|Visa not required|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Malaria, Rabies, Yellow Fever|UNDEFINED|UNDEFINED 
Ethiopia|eVisa / Visa on arrival|Measles, Routine vaccines, Polio, Hepatitis A, Typhoid, Cholera, Hepatitis B, Malaria, Meningitis (Meningococcal disease), Rabies, Yellow Fever|61,63,63,63,64,63,59,61,61,61,59,59,61|Addis Ababa 
Fiji|81,198|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Yellow Fever|81.3,81.7,79.5,79.9,77.7,76.3,74.8,74.7,75.4,77.2,79.0,80.4,78.1|Suva 
Finland|124,997|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|25.0,23.5,29.7,39.0,50.4,58.3,64.0,61.3,52.7,43.9,34.9,28.4,42.6|Helsinki 
France|3,622,362|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|40.8,42.1,47.8,52.5,59.2,64.8,68.7,68.4,62.4,55.2,46.6,41.7,54.1|Paris 
Gabon|eVisa / Visa on arrival|Measles, Routine vaccines, Yellow Fever, Hepatitis A, Malaria, Typhoid, Hepatitis B, Rabies|80.2,80.6,80.8,79.9,80.1,77.7,75.7,75.7,77.7,78.3,78.6,79.2,78.6|Libreville 
Gambia|4,058|N/A|UNDEFINED|UNDEFINED 
Georgia|42,645|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|34.2,36.9,43.9,54.0,63.3,70.3,76.1,75.4,67.3,56.7,46.0,37.8,55.2|Tbilisi 
Germany|2,558,495|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|33.1,36.1,41.2,50.4,58.6,64.2,68.5,67.5,59.5,50.9,42.8,34.3,50.5|Berlin 
Ghana|Visa required|Measles, Routine vaccines, Polio, Yellow Fever, Hepatitis A, Malaria, Typhoid, Cholera, Hepatitis B, Meningitis (Meningococcal disease), Rabies|81.1,81.9,81.9,81.9,81.0,78.1,75.9,75.7,77.4,78.8,80.6,81.0,79.5|Accra 
Greece|750,250|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|50.4,51.6,55.8,62.4,71.2,79.9,84.7,84.7,77.0,68.2,59.9,52.7,66.6|Athens 
Grenada|67,250|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies, Yellow Fever|UNDEFINED|UNDEFINED 
Guatemala|447,140|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Malaria, Rabies, Yellow Fever|UNDEFINED|UNDEFINED 
Guinea|eVisa|Measles, Routine vaccines, Hepatitis A, Malaria, Typhoid, Yellow Fever, Hepatitis B, Meningitis (Meningococcal disease), Rabies|79.0,79.7,80.6,81.3,81.5,79.7,77.9,77.4,78.1,79.3,80.6,79.9,79.5|Conakry 
Guinea-Bissau|eVisa / Visa on arrival|Measles, Routine vaccines, Yellow Fever, Hepatitis A, Malaria, Typhoid, Hepatitis B, Meningitis (Meningococcal disease), Rabies|79,81,82,82,82,82,81,79,81,82,81,79,81|Bissau 
Guyana|82,966|Measles, Routine vaccines, Hepatitis A, Typhoid, Yellow Fever, Hepatitis B, Malaria, Rabies|79.0,79.5,80.1,80.6,80.2,79.7,79.9,80.6,81.5,81.7,81.0,79.5,80.2|Georgetown 
Haiti|266,793|Measles, Routine vaccines, Hepatitis A, Malaria, Typhoid, Cholera, Hepatitis B, Rabies, Yellow Fever|UNDEFINED|UNDEFINED 
Honduras|Visa not required|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Malaria, Rabies, Yellow Fever|67.1,68.7,71.8,74.1,74.5,72.7,71.8,72.3,72.0,70.7,68.7,67.5,71.1|Tegucigalpa 
Hungary|275,314|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|32.7,36.1,43.0,53.6,61.9,67.5,70.7,70.2,62.4,53.2,41.7,35.2,52.3|Budapest 
Iceland|576,403|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|31.1,32.7,32.9,37.2,43.3,48.2,51.1,50.5,45.3,39.9,34.0,31.6,39.7|Reykjavík 
India|1,456,678|Measles, Routine vaccines, Hepatitis A, Typhoid, Cholera, Hepatitis B, Malaria, Japanese Encephalitis, Rabies, Yellow Fever|56.8,61.7,71.8,83.7,91.0,93,87.6,85.5,84,79.0,68.9,59.5,77|New Delhi 
Indonesia|316,782|Measles, Routine vaccines, Polio, Hepatitis A, Typhoid, Hepatitis B, Japanese Encephalitis, Malaria, Rabies, Yellow Fever|79.0,79.0,79.5,80.6,81.0,80.1,79.5,80.1,80.6,81.0,80.6,79.5,80.1|Jakarta 
Iran|Visa required|Measles, Routine vaccines, Polio, Hepatitis A, Typhoid, Hepatitis B, Malaria, Rabies, Yellow Fever|34,41,50,63,70,81,88,84,79,64,52,41,63|Tehran 
Iraq|Visa required|Measles, Routine vaccines, Hepatitis A, Typhoid, Cholera, Hepatitis B, Rabies, Yellow Fever|49.5,54,61.9,72.7,82.9,90.1,94.6,93,86.9,76.5,61.7,52.2,72.99|Baghdad 
Ireland|1,294,000|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|41.5,41.5,44.2,46.9,51.6,56.5,60.1,59.5,56.1,50.9,45.3,42.1,49.6|Dublin 
Israel|778,600|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies, Typhoid|54,55,59,64,70,73,79,79,77,72,64,55,68|Tel Aviv 
Italy|3,567,000|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|45.5,46.8,50.4,54.7,63.0,70.0,75.4,76.1,69.4,61.5,52.5,47.1,59.4|Rome 
Jamaica|1,509,963|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies, Yellow Fever|78.4,78.6,79.5,80.4,82.0,83.3,84.0,83.7,83.1,81.9,81.0,80.1,81.3|Kingston 
Japan|1,375,000|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Japanese Encephalitis, Rabies|41.4,42.3,47.7,57.0,64.8,70.5,77.0,79.5,73.0,63.5,53.8,45.7,59.7|Tokyo 
Jordan|166,441|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies, Yellow Fever|UNDEFINED|UNDEFINED 
Kazakhstan|29,632|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies, Yellow Fever|23.5,26.6,38.1,52.7,61.9,70.9,74.8,73.4,63.7,49.8,36.9,27.0,50.0|Almaty 
Kenya|eVisa / Visa on arrival|Measles, Routine vaccines, Hepatitis A, Typhoid, Cholera, Hepatitis B, Malaria, Meningitis (Meningococcal disease), Rabies, Yellow Fever|81.7,82.6,82.9,81.7,79.2,76.6,75.2,75.2,76.5,78.3,80.4,81.3,79.3|Mombasa 
Kiribati|1,319|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B|UNDEFINED|UNDEFINED 
North Korea|Travel restricted|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Japanese Encephalitis, Malaria, Rabies, Yellow Fever|21.6,36.3,39.9,52.2,62.8,71.1,75.7,76.3,67.3,54.5,40.5,26.8,51.4|Pyongyang 
South Korea|868,881|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Japanese Encephalitis, Malaria, Rabies|27.7,32.7,42.3,54.5,64.0,72.0,76.8,78.3,70.2,58.6,45.0,32.7,54.5|Seoul 
Kuwait|eVisa / Visa on arrival|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies|54.5,58.6,66.7,76.8,88.7,96.8,99.9,98.2,91.9,81.1,67.8,57.4,78.3|Kuwait City 
Kyrgyzstan|14,200|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies, Yellow Fever|27.3,30.6,41.5,54.1,63.3,72.3,76.8,74.8,65.3,51.8,40.5,30.4,52.3|Bishkek 
Laos|38,765|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Japanese Encephalitis, Malaria, Rabies, Yellow Fever|71.1,75.2,80.1,83.3,81.9,81.9,81.5,81.0,80.6,79.5,75.7,71.1,78.6|Vientiane 
Latvia|44,760|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|23.5,24.4,32.9,41.2,52.5,59.9,62.4,61.2,53.6,45.3,35.8,27.9,43.2|Riga 
Lebanon|154,095|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies|57.2,57.2,60.8,65.7,71.1,76.8,80.8,82.0,80.2,75.4,67.1,60.4,69.6|Beirut 
Lesotho|10,026|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies, Yellow Fever|UNDEFINED|UNDEFINED 
Liberia|Visa required|Measles, Routine vaccines, Yellow Fever, Hepatitis A, Malaria, Typhoid, Hepatitis B, Rabies|UNDEFINED|UNDEFINED 
Libya|Visa required|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies, Yellow Fever|54,55,59,64,72,79,81,82,81,73,63,55,68|Tripoli 
Liechtenstein|Visa not required|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|33.4,35.8,43.3,49.8,57.9,62.8,66.2,65.1,58.8,51.6,41.4,35.4,50.2|Vaduz 
Lithuania|35,300|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|21.0,23.4,30.9,42.3,54.5,60.4,62.4,61.3,52.9,43.9,34.2,26.8,42.8|Vilnius 
Luxembourg|32,144|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|33.4,34.9,41.4,47.7,55.4,60.6,64.8,63.9,57.0,49.1,40.5,35.2,48.7|Luxembourg City 
Madagascar|4,165|Measles, Routine vaccines, Hepatitis A, Typhoid, Malaria, Hepatitis B, Rabies, Yellow Fever|68.9,69.3,68.2,66.6,62.2,58.3,57.4,58.1,61.3,65.3,67.5,68.4,64.2|Antananarivo 
Malawi|36,386|Measles, Routine vaccines, Hepatitis A, Malaria, Typhoid, Cholera, Hepatitis B, Rabies, Yellow Fever|74.3,74.1,73.8,72.0,68.5,65.3,65.1,68.0,73.6,77.0,77.0,75.2,72.0|Blantyre 
Malaysia|198,203|Measles, Routine vaccines, Hepatitis A, Typhoid, Cholera, Hepatitis B, Japanese Encephalitis, Malaria, Rabies, Yellow Fever|80.4,81.1,81.7,81.9,82.4,82.2,81.3,81.5,81.0,80.8,80.2,80.1,81.1|Kuala Lumpur 
Maldives|39,180|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Yellow Fever|81.9,82.4,83.3,84.0,83.5,82.8,82.4,82.0,81.7,81.7,81.9,81.5,82.4|Malé 
Mali|4,479|Measles, Routine vaccines, Yellow Fever, Hepatitis A, Malaria, Typhoid, Hepatitis B, Meningitis (Meningococcal disease), Rabies|77.2,82.0,86.4,88.9,88.5,84.4,80.2,79.0,79.9,81.9,79.7,76.6,82.0|Bamako 
Malta|35,758|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies, Yellow Fever|55.0,55.0,55.9,60.1,66.0,73.0,79.0,80.1,75.0,70.0,63.0,57.0,65.8|Valletta 
Marshall Islands|1,546|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B|UNDEFINED|UNDEFINED 
Mauritania|Visa on arrival|Measles, Routine vaccines, Malaria, Hepatitis A, Typhoid, Hepatitis B, Rabies, Yellow Fever|70.7,73.4,75.6,75.7,78.4,80.1,81.1,83.1,85.3,83.8,78.4,73.0,78.3|Nouakchott 
Mauritius|9,655|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies|UNDEFINED|UNDEFINED 
Mexico|10,340,463|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Malaria, Rabies|58.3,60.6,64.6,67.3,68.0,66.9,64.8,64.9,64.4,62.8,61.3,59.0,63.5|Mexico City 
Micronesia|6,906|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B|UNDEFINED|UNDEFINED 
Moldova|21,878|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|28.6,30.6,38.7,50.7,61.7,67.8,71.8,71.1,61.3,50.9,39.4,30.9,50.4|Chișinău 
Monaco|Visa not required|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|50.4,50.4,53.6,56.8,63.5,69.6,74.8,75.6,70.0,64.2,56.8,52.2,61.5|Monaco 
Mongolia|16,684|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies|−6.9,2.1,18.7,35.6,50.2,60.3,64.8,60.8,49.3,32.9,10.6,−2.2,31.3|Ulaanbaatar 
Montenegro|18,874|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|41.0,44.2,50.0,57.0,66.2,73.0,78.8,78.1,70.5,60.6,50.9,43.7,59.5|Podgorica 
Morocco|Visa not required|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies|54.0,56.8,60.4,63.1,69.1,74.8,82.9,82.9,77.5,70.0,61.3,54.7,67.3|Marrakesh 
Mozambique|Visa on arrival|Measles, Routine vaccines, Polio, Hepatitis A, Malaria, Typhoid, Cholera, Hepatitis B, Rabies, Yellow Fever|79.3,79.2,78.1,74.3,70.5,66.0,65.8,68.0,70.7,72.3,74.8,77.9,73.0|Maputo 
Myanmar|76,502|N/A|77.0,79.3,83.5,87.1,85.3,81.3,80.4,80.4,81.3,82.2,81.3,77.7,81.5|Yangon 
Namibia|26,339|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Malaria, Rabies, Yellow Fever|UNDEFINED|UNDEFINED 
Nauru|Visa required|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B|UNDEFINED|UNDEFINED 
Nepal|42,687|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Japanese Encephalitis, Malaria, Rabies, Yellow Fever|50.0,53.4,61.0,66.6,71.2,74.8,75.4,75.4,73.9,66.4,58.6,52.3,64.9|Kathmandu 
Netherlands|1,450,000|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|38.1,38.3,43.0,48.4,55.2,59.7,63.7,63.5,58.5,51.8,44.8,39.2,50.4|Amsterdam 
New Zealand|330,128|Measles, Routine vaccines, Hepatitis A, Hepatitis B|66.4,67.5,65.1,61.0,57.2,53.2,51.6,52.3,54.9,57.6,60.3,64.0,59.4|Auckland 
Nicaragua|288,538|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Malaria, Rabies, Yellow Fever|79.3,81.0,83.3,84.7,84.7,81.0,80.2,81.0,80.2,79.7,79.3,79.2,81.1|Managua 
Niger|Visa required|Measles, Routine vaccines, Yellow Fever, Polio, Hepatitis A, Malaria, Typhoid, Cholera, Hepatitis B, Meningitis (Meningococcal disease), Rabies|75.7,81.1,87.6,92.8,93.2,88.7,84.2,82.2,84.2,87.4,82.2,77.0,84.7|Niamey 
Nigeria|Visa required|Measles, Yellow Fever, Routine vaccines, Polio, Hepatitis A, Malaria, Typhoid, Cholera, Hepatitis B, Rabies, Meningitis (Meningococcal disease)|81.1,83.3,83.3,82,80.8,78.1,77.5,77.2,77.9,79.5,81.0,81.0,80.2|Lagos 
North Macedonia|Visa not required|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|UNDEFINED|UNDEFINED 
